Talk ID,Date,Time,Origin,Contact ID,Contact Name,Lead ID,Responsible User Name,Chat ID,Status,Duration (sec),First Message Time,First Response Duration (sec)
26592,2025-07-22,07:33:39,WhatsApp (CRM),15762238,Contact_c43f496c,L_a73abaaa,,Chat_ef4bde27,in_work,,,
26591,2025-07-22,07:33:34,WhatsApp (CRM),15762234,Contact_56d278f9,L_8f363f45,,Chat_c67f380c,in_work,,,
26590,2025-07-22,07:33:21,WhatsApp (CRM),15762228,Contact_f6c17241,L_46ebad10,,Chat_30d0d86a,in_work,,,
26589,2025-07-22,07:33:12,WhatsApp (CRM),15762220,Contact_6a89946f,L_3487fcbc,,Chat_f261981c,in_work,,,
26588,2025-07-22,07:33:06,WhatsApp (CRM),15762216,Contact_4e2c1d88,L_636a93a3,,Chat_e33cda49,in_work,,,
26587,2025-07-22,07:32:30,WhatsApp (CRM),15762196,Contact_94312310,L_f4511aa8,,Chat_9e93fb4e,in_work,,,
26586,2025-07-22,07:32:11,WhatsApp (CRM),15762184,Contact_3482745d,L_7bae1780,,Chat_66c669c4,in_work,,,
26585,2025-07-22,07:32:09,WhatsApp (CRM),15762180,Contact_52840b86,L_88485264,,Chat_62119d2f,in_work,,,
26584,2025-07-22,07:32:06,WhatsApp (CRM),15762178,Contact_108d6db6,L_b58b1064,,Chat_ce4762fe,in_work,,,
26583,2025-07-22,07:32:02,WhatsApp (CRM),15762176,Contact_09324d87,L_71cec80d,,Chat_d392662e,in_work,,,
26582,2025-07-22,07:32:00,WhatsApp (CRM),15762174,Contact_d03c36f5,L_0105892f,,Chat_c2322e96,in_work,,,
26581,2025-07-22,07:31:45,WhatsApp (CRM),15762166,Contact_a4738638,L_25e368a7,,Chat_14b36d9f,in_work,,,
26580,2025-07-22,07:31:44,WhatsApp (CRM),15762164,Contact_b5873973,L_e3e7bad3,,Chat_46bf3b97,in_work,,,
26579,2025-07-22,07:30:47,WhatsApp (CRM),15762138,Contact_881d6905,L_08f6019f,User 4,Chat_fd838732,in_work,,,
26578,2025-07-22,07:30:40,WhatsApp (CRM),15762134,Contact_13544abf,L_8bb93f5c,,Chat_ac12f83d,in_work,,,
26577,2025-07-22,07:30:32,WhatsApp (CRM),15762120,Contact_8c251051,L_6650b162,,Chat_bb3c0c93,in_work,,,
26576,2025-07-22,07:30:25,WhatsApp (CRM),15762114,Contact_0cd4217b,L_8bb53428,,Chat_723a8458,in_work,,,
26575,2025-07-22,07:30:21,WhatsApp (CRM),15762106,Contact_14bb666e,L_d9610b4e,,Chat_782c05e3,in_work,,,
26574,2025-07-22,07:30:10,WhatsApp (CRM),15762100,Contact_52395558,L_e64d496b,,Chat_a40376bc,in_work,,,
26573,2025-07-22,07:29:57,WhatsApp (CRM),15762098,Contact_e1ad7280,L_15932675,,Chat_47377d51,in_work,,,
26572,2025-07-22,07:29:48,WhatsApp (CRM),15762086,Contact_4ae35314,L_a8f55e87,,Chat_366207cd,in_work,,,
26571,2025-07-22,07:29:15,WhatsApp (CRM),15762070,Contact_efecc633,L_a910bb5c,,Chat_ab6c9b23,in_work,,,
26570,2025-07-22,07:28:56,WhatsApp (CRM),15762056,Contact_b80cc013,L_3337ba3b,,Chat_b2a951fc,in_work,,,
26569,2025-07-22,07:28:47,Instagram Business,15762052,Contact_ec475d1d,L_3b367bb8,,Chat_f38630ca,in_work,,,
26566,2025-07-22,07:28:11,WhatsApp (CRM),15762024,Contact_95899f00,L_b3316fe8,,Chat_44e686cd,in_work,,,
26567,2025-07-22,07:28:11,WhatsApp (CRM),15762022,Contact_2c796bb4,L_7023d9e5,,Chat_27e4f46c,in_work,,,
26565,2025-07-22,07:28:06,WhatsApp (CRM),15762018,Contact_84803291,L_a5bac7a7,,Chat_e0148c27,in_work,,,
